ticket_id,created_at,resolved_at,category,system_name,priority,status,resolution_notes,root_cause,resolution_time_hrs,sla_breached,created_day,created_hour
16,2025-05-29 11:53:35,2025-05-30 18:53:35,Server Down,FDW_App2,Medium,Closed,Quite ago play paper office hospital have wonder.,Network Glitch,31.0,True,Thursday,11
17,2025-04-11 03:55:16,2025-04-11 08:55:16,Login Failure,Report_Portal,Critical,Closed,Against which continue buy decision song view age.,Configuration Error,5.0,False,Friday,3
18,2025-05-18 22:53:07,2025-05-19 10:53:07,Access Issue,FDW_App2,Low,Closed,Big employee determine positive go Congress mean always.,Configuration Error,12.0,True,Sunday,22
19,2025-04-17 10:17:06,2025-04-20 08:17:06,Report Error,CyberArk,High,Closed,Current grow rule stuff truth college.,User Error,70.0,True,Thursday,10
20,2025-04-27 09:06:44,2025-04-28 16:06:44,Access Issue,CyberArk,Critical,Closed,Small citizen class morning.,User Error,31.0,True,Sunday,9
21,2025-04-19 00:14:50,2025-04-20 12:14:50,Report Error,Control-M,High,Closed,Tv program actually race tonight themselves true power.,Configuration Error,36.0,True,Saturday,0
22,2025-05-15 08:43:25,2025-05-17 02:43:25,Login Failure,FDW_App1,Critical,Closed,Check real leader bad school.,User Error,42.0,True,Thursday,8
23,2025-05-30 11:28:40,2025-06-01 06:28:40,Access Issue,FDW_App2,Low,Closed,Care several loss particular pull.,Unknown,43.0,True,Friday,11
24,2025-06-03 22:34:06,2025-06-05 09:34:06,Batch Job,FDW_App2,High,Closed,Car financial security stock ball organization recognize civil.,Network Glitch,35.0,True,Tuesday,22
25,2025-04-29 06:58:38,2025-05-01 01:58:38,Report Error,FDW_App1,Low,Closed,Her then nothing increase I reduce industry.,Network Glitch,43.0,True,Tuesday,6
26,2025-04-12 04:07:34,2025-04-13 09:07:34,Batch Job,CyberArk,Low,Closed,Knowledge else citizen month.,Configuration Error,29.0,True,Saturday,4
27,2025-05-24 22:31:58,2025-05-25 14:31:58,Access Issue,CyberArk,Low,Closed,Page a although for study anyone state.,Database Timeout,16.0,True,Saturday,22
28,2025-05-17 22:27:43,2025-05-18 10:27:43,Server Down,FDW_App1,Low,Closed,Nature white without study candidate.,User Error,12.0,True,Saturday,22
29,2025-04-09 01:26:36,2025-04-09 04:26:36,Access Issue,FDW_App2,Low,Closed,Wear individual about add senior woman.,Database Timeout,3.0,False,Wednesday,1
30,2025-05-28 22:15:25,2025-05-30 01:15:25,Batch Job,FDW_App1,Critical,Closed,Best budget power them evidence without beyond take.,User Error,27.0,True,Wednesday,22
31,2025-05-16 03:29:26,2025-05-16 16:29:26,Server Down,FDW_App1,Medium,Closed,Ball ever laugh society technology card minute practice.,Configuration Error,13.0,True,Friday,3
32,2025-05-11 07:48:49,2025-05-12 22:48:49,Server Down,Control-M,Medium,Closed,The everything affect American.,Configuration Error,39.0,True,Sunday,7
33,2025-05-02 20:11:42,2025-05-05 13:11:42,Report Error,FDW_App1,Low,Closed,Fire happen nothing support suffer which parent.,Unknown,65.0,True,Friday,20
34,2025-05-25 15:21:24,2025-05-27 18:21:24,Access Issue,Report_Portal,High,Closed,Policy head Mrs debate onto across character.,Unknown,51.0,True,Sunday,15
35,2025-05-10 00:01:10,2025-05-12 13:01:10,Login Failure,FDW_App2,Medium,Closed,Smile responsibility full per among clearly.,Configuration Error,61.0,True,Saturday,0
36,2025-06-03 06:39:41,2025-06-04 03:39:41,Access Issue,Report_Portal,High,Closed,Guess writer can boy room.,Configuration Error,21.0,True,Tuesday,6
37,2025-04-12 07:34:01,2025-04-14 16:34:01,Access Issue,FDW_App1,Critical,Closed,Conference mission audience idea foreign.,Unknown,57.0,True,Saturday,7
38,2025-05-17 21:29:35,2025-05-20 02:29:35,Login Failure,CyberArk,High,Closed,Between training listen subject.,Unknown,53.0,True,Saturday,21
39,2025-05-10 23:53:16,2025-05-12 21:53:16,Report Error,Report_Portal,Medium,Closed,Look record interview few.,User Error,46.0,True,Saturday,23
40,2025-04-22 17:50:43,2025-04-22 19:50:43,Report Error,FDW_App1,High,Closed,Phone heart window police.,Unknown,2.0,False,Tuesday,17
41,2025-04-14 00:31:39,2025-04-14 06:31:39,Login Failure,Report_Portal,Medium,Closed,Cup determine his better.,Network Glitch,6.0,False,Monday,0
42,2025-05-31 15:48:05,2025-06-03 05:48:05,Server Down,CyberArk,High,Closed,Face turn small research describe base detail.,Unknown,62.0,True,Saturday,15
43,2025-05-02 23:06:04,2025-05-04 21:06:04,Login Failure,CyberArk,Medium,Closed,Since issue grow ask tell reduce total later.,Unknown,46.0,True,Friday,23
44,2025-04-27 05:05:18,2025-04-28 21:05:18,Report Error,Control-M,Low,Closed,Market either political young.,Configuration Error,40.0,True,Sunday,5
45,2025-04-28 14:11:31,2025-04-29 15:11:31,Server Down,FDW_App2,Medium,Closed,Chair cup her national character writer work chance.,Network Glitch,25.0,True,Monday,14
46,2025-05-17 00:57:11,2025-05-19 10:57:11,Report Error,CyberArk,Critical,Closed,There many true follow marriage material.,Configuration Error,58.0,True,Saturday,0
47,2025-04-27 05:47:43,2025-04-29 09:47:43,Login Failure,Control-M,Low,Closed,Particular despite future while together stand along.,Network Glitch,52.0,True,Sunday,5
48,2025-04-22 00:50:29,2025-04-24 10:50:29,Batch Job,Report_Portal,Medium,Closed,Owner choose here family relationship.,Database Timeout,58.0,True,Tuesday,0
49,2025-05-23 07:18:22,2025-05-26 03:18:22,Report Error,CyberArk,Low,Closed,Son might trip at.,Configuration Error,68.0,True,Friday,7
50,2025-04-20 07:11:42,2025-04-22 23:11:42,Server Down,Report_Portal,Critical,Closed,Feel serve large.,Configuration Error,64.0,True,Sunday,7
51,2025-04-23 05:33:23,2025-04-25 11:33:23,Access Issue,CyberArk,Low,Closed,Than leave he him.,Unknown,54.0,True,Wednesday,5
52,2025-05-29 01:39:46,2025-05-29 18:39:46,Batch Job,Control-M,Critical,Closed,Almost before some military outside baby interview.,Permission Missing,17.0,True,Thursday,1
53,2025-04-27 15:22:50,2025-04-27 16:22:50,Access Issue,FDW_App1,Low,Closed,Movement out stay lot social.,Unknown,1.0,False,Sunday,15
54,2025-05-15 08:33:10,2025-05-18 04:33:10,Login Failure,FDW_App1,Medium,Closed,Only surface something prevent a consider medical effort.,Configuration Error,68.0,True,Thursday,8
55,2025-04-14 00:01:45,2025-04-15 02:01:45,Server Down,Report_Portal,Medium,Closed,Teacher wall field impact special artist political.,Configuration Error,26.0,True,Monday,0
56,2025-04-19 23:48:02,2025-04-22 12:48:02,Report Error,FDW_App1,Low,Closed,Expert stop area along individual.,Permission Missing,61.0,True,Saturday,23
57,2025-05-25 09:10:15,2025-05-27 19:10:15,Batch Job,Report_Portal,Medium,Closed,Response purpose character would in partner hit another.,Unknown,58.0,True,Sunday,9
58,2025-05-23 08:22:22,2025-05-26 03:22:22,Server Down,FDW_App1,Medium,Closed,After our car food.,Permission Missing,67.0,True,Friday,8
59,2025-05-30 22:43:09,2025-05-31 01:43:09,Batch Job,FDW_App1,Medium,Closed,Crime situation since book art red.,Unknown,3.0,False,Friday,22
60,2025-06-06 06:36:58,2025-06-07 16:36:58,Login Failure,Report_Portal,High,Closed,Value practice wide require fast support when hold.,User Error,34.0,True,Friday,6
61,2025-05-06 03:44:00,2025-05-06 09:44:00,Login Failure,Control-M,Critical,Closed,Million size country site.,Unknown,6.0,False,Tuesday,3
62,2025-05-20 19:04:02,2025-05-23 03:04:02,Server Down,CyberArk,Medium,Closed,Series lay smile away and various.,Network Glitch,56.0,True,Tuesday,19
63,2025-05-24 19:58:06,2025-05-26 20:58:06,Login Failure,Report_Portal,Low,Closed,Too war project occur democratic.,Network Glitch,49.0,True,Saturday,19
64,2025-04-16 16:56:13,2025-04-17 12:56:13,Server Down,Report_Portal,High,Closed,Single recognize information figure box international not type.,Permission Missing,20.0,True,Wednesday,16
65,2025-04-17 19:14:27,2025-04-18 07:14:27,Server Down,CyberArk,Low,Closed,As indeed choose west social issue.,Configuration Error,12.0,True,Thursday,19
66,2025-05-18 02:50:51,2025-05-19 13:50:51,Access Issue,FDW_App2,High,Closed,Market ten foot.,Permission Missing,35.0,True,Sunday,2
67,2025-05-02 03:41:22,2025-05-04 06:41:22,Login Failure,FDW_App2,High,Closed,Good building reality generation.,Configuration Error,51.0,True,Friday,3
68,2025-04-24 21:40:35,2025-04-27 11:40:35,Access Issue,FDW_App1,High,Closed,Store discover hand.,Network Glitch,62.0,True,Thursday,21
69,2025-06-04 13:16:29,2025-06-07 08:16:29,Batch Job,Report_Portal,Critical,Closed,Debate daughter purpose voice.,Permission Missing,67.0,True,Wednesday,13
70,2025-04-19 14:10:14,2025-04-21 05:10:14,Report Error,FDW_App1,Low,Closed,Fall ready usually.,User Error,39.0,True,Saturday,14
71,2025-04-30 05:43:55,2025-05-02 19:43:55,Report Error,Report_Portal,High,Closed,Cost both general where.,Configuration Error,62.0,True,Wednesday,5
72,2025-04-20 06:24:39,2025-04-22 20:24:39,Batch Job,Control-M,Critical,Closed,Whom gun list.,Configuration Error,62.0,True,Sunday,6
73,2025-05-06 01:00:13,2025-05-07 16:00:13,Server Down,FDW_App2,Medium,Closed,View when player contain year.,Unknown,39.0,True,Tuesday,1
74,2025-04-17 14:09:05,2025-04-19 15:09:05,Batch Job,FDW_App1,Low,Closed,Ok choose today watch source firm drug.,Network Glitch,49.0,True,Thursday,14
75,2025-04-25 11:44:35,2025-04-26 16:44:35,Batch Job,Control-M,Low,Closed,Head production technology over hour.,Configuration Error,29.0,True,Friday,11
76,2025-04-14 17:42:57,2025-04-16 20:42:57,Login Failure,CyberArk,High,Closed,Inside nearly scientist central.,Database Timeout,51.0,True,Monday,17
77,2025-05-18 14:53:33,2025-05-21 05:53:33,Login Failure,FDW_App2,Critical,Closed,Pm be know hard we.,Configuration Error,63.0,True,Sunday,14
78,2025-04-13 05:56:18,2025-04-15 05:56:18,Access Issue,Report_Portal,Medium,Closed,Impact individual rock fly daughter fall.,Database Timeout,48.0,True,Sunday,5
79,2025-05-23 08:22:09,2025-05-24 09:22:09,Server Down,FDW_App1,Low,Closed,Wear someone everybody newspaper.,Unknown,25.0,True,Friday,8
80,2025-04-22 13:41:07,2025-04-22 17:41:07,Login Failure,Control-M,Medium,Closed,Up control instead company where future model.,Configuration Error,4.0,False,Tuesday,13
81,2025-05-12 03:11:16,2025-05-14 19:11:16,Report Error,Report_Portal,Medium,Closed,Place beat sense far store last left.,Unknown,64.0,True,Monday,3
82,2025-04-28 20:48:33,2025-04-29 02:48:33,Access Issue,CyberArk,Medium,Closed,Boy without feeling participant interest.,Configuration Error,6.0,False,Monday,20
83,2025-05-23 09:38:40,2025-05-24 11:38:40,Report Error,Control-M,High,Closed,Question set discussion seven.,User Error,26.0,True,Friday,9
84,2025-05-04 19:46:29,2025-05-05 15:46:29,Batch Job,CyberArk,Critical,Closed,Worker building this American either moment ok how.,Network Glitch,20.0,True,Sunday,19
85,2025-04-17 12:52:22,2025-04-19 16:52:22,Report Error,CyberArk,Critical,Closed,Government the pull cultural be.,Unknown,52.0,True,Thursday,12
86,2025-04-14 11:17:42,2025-04-16 05:17:42,Report Error,Control-M,Medium,Closed,Figure future morning eat turn.,User Error,42.0,True,Monday,11
87,2025-04-23 12:13:54,2025-04-24 17:13:54,Batch Job,Report_Portal,High,Closed,Increase face mind off.,Permission Missing,29.0,True,Wednesday,12
88,2025-04-28 01:06:20,2025-04-28 06:06:20,Login Failure,FDW_App2,High,Closed,Black western myself scientist tough everything kind.,User Error,5.0,False,Monday,1
89,2025-06-01 19:12:01,2025-06-02 15:12:01,Report Error,CyberArk,High,Closed,Case but building husband life nice federal place.,Unknown,20.0,True,Sunday,19
90,2025-05-17 22:23:31,2025-05-20 11:23:31,Batch Job,FDW_App1,Low,Closed,Live reason five present art.,Configuration Error,61.0,True,Saturday,22
91,2025-05-06 18:36:13,2025-05-07 23:36:13,Access Issue,FDW_App1,High,Closed,Seat appear perform agent.,Configuration Error,29.0,True,Tuesday,18
92,2025-05-23 09:51:48,2025-05-25 19:51:48,Server Down,FDW_App2,Medium,Closed,Thousand act money at term rather.,Unknown,58.0,True,Friday,9
93,2025-05-15 23:48:26,2025-05-18 10:48:26,Server Down,CyberArk,Critical,Closed,Guess break about.,User Error,59.0,True,Thursday,23
94,2025-05-03 21:01:51,2025-05-06 14:01:51,Batch Job,CyberArk,Low,Closed,Road dinner seem explain black.,Unknown,65.0,True,Saturday,21
95,2025-05-22 09:05:04,2025-05-25 04:05:04,Login Failure,FDW_App1,Critical,Closed,Himself former possible reach challenge value.,Network Glitch,67.0,True,Thursday,9
96,2025-04-21 22:49:23,2025-04-23 12:49:23,Login Failure,CyberArk,Critical,Closed,Firm decade cost glass work interview man.,Database Timeout,38.0,True,Monday,22
97,2025-04-29 00:07:49,2025-05-01 02:07:49,Login Failure,CyberArk,Medium,Closed,Keep daughter report town almost.,Configuration Error,50.0,True,Tuesday,0
98,2025-04-15 20:23:12,2025-04-15 21:23:12,Access Issue,Report_Portal,High,Closed,Hair sea quality do.,Permission Missing,1.0,False,Tuesday,20
99,2025-05-06 12:24:36,2025-05-06 21:24:36,Report Error,Report_Portal,High,Closed,Beautiful than seem sign third in approach recent.,Database Timeout,9.0,True,Tuesday,12
100,2025-05-30 18:08:50,2025-06-01 20:08:50,Report Error,FDW_App1,Medium,Closed,Ok majority region democratic entire analysis.,Unknown,50.0,True,Friday,18
101,2025-04-23 10:36:26,2025-04-24 03:36:26,Access Issue,Report_Portal,High,Closed,About pressure cell skill quite wife.,Configuration Error,17.0,True,Wednesday,10
102,2025-05-16 03:04:02,2025-05-16 08:04:02,Report Error,Control-M,Medium,Closed,Tv law fund bill third some follow.,Database Timeout,5.0,False,Friday,3
103,2025-05-21 21:04:58,2025-05-22 08:04:58,Access Issue,Report_Portal,Critical,Closed,Eight miss couple bag thank generation.,Configuration Error,11.0,True,Wednesday,21
104,2025-04-27 04:56:02,2025-04-29 16:56:02,Report Error,Control-M,Low,Closed,Pull save fine team effort.,Configuration Error,60.0,True,Sunday,4
105,2025-05-11 00:33:38,2025-05-13 13:33:38,Access Issue,FDW_App1,Low,Closed,And various authority leave right.,User Error,61.0,True,Sunday,0
106,2025-04-12 05:43:52,2025-04-12 22:43:52,Server Down,FDW_App1,High,Closed,Without leave brother bank better she.,Network Glitch,17.0,True,Saturday,5
107,2025-05-17 19:50:29,2025-05-19 21:50:29,Report Error,FDW_App1,Low,Closed,Key baby interview senior stop.,User Error,50.0,True,Saturday,19
108,2025-04-11 10:49:03,2025-04-13 22:49:03,Login Failure,Report_Portal,Low,Closed,Economic detail subject everything.,Unknown,60.0,True,Friday,10
109,2025-05-11 19:34:56,2025-05-13 09:34:56,Access Issue,Control-M,High,Closed,Yes blue tonight particular smile represent.,Unknown,38.0,True,Sunday,19
110,2025-05-20 12:33:07,2025-05-21 04:33:07,Login Failure,FDW_App2,Low,Closed,Painting movie end discussion budget situation between.,Database Timeout,16.0,True,Tuesday,12
111,2025-05-17 21:20:56,2025-05-20 06:20:56,Server Down,FDW_App2,Critical,Closed,Design they young according movement.,Permission Missing,57.0,True,Saturday,21
112,2025-05-19 05:03:43,2025-05-19 15:03:43,Batch Job,FDW_App1,Critical,Closed,Business population brother.,Permission Missing,10.0,True,Monday,5
113,2025-06-01 10:53:27,2025-06-01 14:53:27,Login Failure,CyberArk,Medium,Closed,Director respond national example science top.,Network Glitch,4.0,False,Sunday,10
114,2025-04-13 22:05:12,2025-04-14 10:05:12,Login Failure,CyberArk,Critical,Closed,Film force health lose old case administration.,User Error,12.0,True,Sunday,22
115,2025-05-26 15:30:24,2025-05-28 07:30:24,Batch Job,FDW_App2,Critical,Closed,Happen play speech theory choice computer.,User Error,40.0,True,Monday,15
116,2025-04-15 01:16:39,2025-04-17 08:16:39,Batch Job,FDW_App1,Critical,Closed,Share sit simple notice.,Configuration Error,55.0,True,Tuesday,1
117,2025-04-28 08:30:52,2025-04-28 21:30:52,Report Error,FDW_App2,Low,Closed,Run staff service government opportunity.,Database Timeout,13.0,True,Monday,8
118,2025-05-26 00:37:53,2025-05-28 08:37:53,Report Error,FDW_App1,Critical,Closed,Pattern ago other majority.,Permission Missing,56.0,True,Monday,0
119,2025-05-07 14:26:35,2025-05-08 23:26:35,Batch Job,Report_Portal,Low,Closed,When new clear.,Configuration Error,33.0,True,Wednesday,14
120,2025-05-25 15:51:13,2025-05-27 13:51:13,Batch Job,Report_Portal,High,Closed,National region bad case I course first.,Network Glitch,46.0,True,Sunday,15
121,2025-05-05 22:53:51,2025-05-06 00:53:51,Access Issue,Report_Portal,Low,Closed,Want decade firm section economic television.,User Error,2.0,False,Monday,22
122,2025-04-29 13:32:48,2025-04-30 08:32:48,Access Issue,FDW_App1,Medium,Closed,General class admit of around.,Unknown,19.0,True,Tuesday,13
123,2025-04-22 07:28:51,2025-04-22 23:28:51,Batch Job,Report_Portal,High,Closed,Against physical agency and difficult president.,Unknown,16.0,True,Tuesday,7
124,2025-04-14 02:10:58,2025-04-14 06:10:58,Login Failure,FDW_App2,Medium,Closed,General professional career two.,Network Glitch,4.0,False,Monday,2
125,2025-05-21 05:17:24,2025-05-23 16:17:24,Batch Job,Control-M,High,Closed,Center find power road size impact.,Unknown,59.0,True,Wednesday,5
126,2025-04-08 13:34:07,2025-04-09 23:34:07,Access Issue,FDW_App1,Medium,Closed,Through move source wonder relate service.,Permission Missing,34.0,True,Tuesday,13
127,2025-06-01 11:02:03,2025-06-03 06:02:03,Report Error,Report_Portal,High,Closed,Important hope about catch.,User Error,43.0,True,Sunday,11
128,2025-05-27 12:40:33,2025-05-29 06:40:33,Access Issue,CyberArk,Low,Closed,Bag down stock computer.,Configuration Error,42.0,True,Tuesday,12
129,2025-04-09 18:19:40,2025-04-12 15:19:40,Login Failure,Report_Portal,Medium,Closed,Sea stuff no response.,Database Timeout,69.0,True,Wednesday,18
130,2025-05-19 02:31:00,2025-05-19 21:31:00,Access Issue,FDW_App2,High,Closed,Billion pick report past always future scene heavy.,User Error,19.0,True,Monday,2
131,2025-04-11 03:44:39,2025-04-12 11:44:39,Access Issue,FDW_App2,High,Closed,Bed fall character door green save identify.,Permission Missing,32.0,True,Friday,3
132,2025-05-03 19:53:37,2025-05-06 01:53:37,Batch Job,FDW_App2,Low,Closed,War address morning explain light alone mother.,Database Timeout,54.0,True,Saturday,19
133,2025-05-31 05:35:50,2025-05-31 15:35:50,Batch Job,FDW_App2,Critical,Closed,Various although house build get.,Permission Missing,10.0,True,Saturday,5
134,2025-04-12 14:18:55,2025-04-15 13:18:55,Report Error,FDW_App2,Critical,Closed,Event yet effect.,Permission Missing,71.0,True,Saturday,14
135,2025-06-03 03:17:18,2025-06-05 01:17:18,Batch Job,FDW_App2,Critical,Closed,Yet seven several might history.,Unknown,46.0,True,Tuesday,3
136,2025-05-01 23:08:26,2025-05-03 23:08:26,Login Failure,FDW_App1,Critical,Closed,Break word source wall drug.,Database Timeout,48.0,True,Thursday,23
137,2025-05-29 08:35:20,2025-05-29 10:35:20,Report Error,Report_Portal,Critical,Closed,Class test check suffer star once.,Network Glitch,2.0,False,Thursday,8
138,2025-04-12 14:33:15,2025-04-14 14:33:15,Server Down,Control-M,Low,Closed,Choose general fact fall manager idea issue.,Network Glitch,48.0,True,Saturday,14
139,2025-04-24 03:19:58,2025-04-24 17:19:58,Server Down,FDW_App1,Medium,Closed,Small notice kind.,Unknown,14.0,True,Thursday,3
140,2025-05-10 18:30:57,2025-05-13 04:30:57,Report Error,FDW_App2,Critical,Closed,We lose water.,Database Timeout,58.0,True,Saturday,18
141,2025-05-02 15:22:14,2025-05-03 14:22:14,Access Issue,Control-M,High,Closed,Could nature interest wear community college probably church.,User Error,23.0,True,Friday,15
142,2025-04-18 07:33:55,2025-04-19 02:33:55,Server Down,Control-M,Low,Closed,Place myself his itself find add sing.,Database Timeout,19.0,True,Friday,7
143,2025-05-04 20:35:45,2025-05-05 23:35:45,Server Down,FDW_App1,Critical,Closed,Mrs never wrong couple site.,User Error,27.0,True,Sunday,20
144,2025-04-21 09:19:24,2025-04-23 21:19:24,Batch Job,FDW_App2,High,Closed,Seek choice produce.,Configuration Error,60.0,True,Monday,9
145,2025-06-01 07:40:16,2025-06-02 22:40:16,Login Failure,CyberArk,Medium,Closed,Guess we no in pass sound.,Database Timeout,39.0,True,Sunday,7
146,2025-04-29 19:06:14,2025-05-02 08:06:14,Batch Job,Control-M,Medium,Closed,Gun word citizen.,User Error,61.0,True,Tuesday,19
147,2025-04-26 12:21:41,2025-04-28 16:21:41,Server Down,FDW_App1,Low,Closed,Great record affect same number drug continue serve.,Permission Missing,52.0,True,Saturday,12
148,2025-05-18 09:45:02,2025-05-18 15:45:02,Batch Job,Report_Portal,Critical,Closed,Of door research tell.,User Error,6.0,False,Sunday,9
149,2025-04-17 09:07:15,2025-04-19 12:07:15,Report Error,FDW_App1,High,Closed,Clearly type up play wait.,Permission Missing,51.0,True,Thursday,9
150,2025-05-02 03:55:18,2025-05-03 16:55:18,Access Issue,CyberArk,Low,Closed,Think similar particular before air action.,Configuration Error,37.0,True,Friday,3
151,2025-05-01 22:57:51,2025-05-02 08:57:51,Server Down,Report_Portal,High,Closed,Several hit simple personal home.,Configuration Error,10.0,True,Thursday,22
152,2025-04-11 08:38:25,2025-04-14 04:38:25,Access Issue,FDW_App2,Low,Closed,Let stop camera report foreign agency list miss.,Database Timeout,68.0,True,Friday,8
153,2025-04-11 16:01:28,2025-04-13 06:01:28,Server Down,CyberArk,Medium,Closed,Not girl above course.,User Error,38.0,True,Friday,16
154,2025-04-18 09:19:45,2025-04-21 04:19:45,Access Issue,CyberArk,Low,Closed,Likely fire subject west agent hotel by.,Database Timeout,67.0,True,Friday,9
155,2025-05-04 08:06:38,2025-05-07 06:06:38,Report Error,Report_Portal,High,Closed,Provide other identify fill art by.,Database Timeout,70.0,True,Sunday,8
156,2025-04-20 15:15:43,2025-04-22 15:15:43,Login Failure,FDW_App2,Medium,Closed,Relate respond rich role mind statement reality.,Configuration Error,48.0,True,Sunday,15
157,2025-05-15 05:30:48,2025-05-15 21:30:48,Report Error,Control-M,Critical,Closed,General one bar nice.,Network Glitch,16.0,True,Thursday,5
158,2025-05-03 09:58:33,2025-05-06 09:58:33,Server Down,Report_Portal,Critical,Closed,Son foreign remember site military.,Unknown,72.0,True,Saturday,9
159,2025-05-21 22:47:40,2025-05-24 04:47:40,Access Issue,Control-M,Critical,Closed,Series large check plan.,Unknown,54.0,True,Wednesday,22
160,2025-04-24 19:28:56,2025-04-27 12:28:56,Server Down,Control-M,Low,Closed,Almost serious stand author possible lead draw.,Database Timeout,65.0,True,Thursday,19
161,2025-05-22 03:54:04,2025-05-23 18:54:04,Access Issue,Control-M,Low,Closed,City four pretty live new myself star.,User Error,39.0,True,Thursday,3
162,2025-05-10 23:15:41,2025-05-12 03:15:41,Batch Job,Report_Portal,Critical,Closed,Spend bag into.,Database Timeout,28.0,True,Saturday,23
163,2025-05-11 20:05:13,2025-05-11 22:05:13,Login Failure,FDW_App1,Low,Closed,Later street mention would technology budget first.,Unknown,2.0,False,Sunday,20
164,2025-04-09 20:04:33,2025-04-11 23:04:33,Batch Job,Report_Portal,Low,Closed,Safe affect though cover.,Configuration Error,51.0,True,Wednesday,20
165,2025-05-17 19:25:48,2025-05-17 20:25:48,Server Down,Report_Portal,Medium,Closed,Recognize someone treatment over.,Network Glitch,1.0,False,Saturday,19
166,2025-04-23 22:57:57,2025-04-25 11:57:57,Access Issue,FDW_App1,Critical,Closed,Truth unit impact key page per.,Database Timeout,37.0,True,Wednesday,22
167,2025-05-02 11:14:40,2025-05-04 06:14:40,Report Error,FDW_App2,High,Closed,None sound include air sort.,Database Timeout,43.0,True,Friday,11
168,2025-04-26 03:00:12,2025-04-28 11:00:12,Access Issue,Control-M,Medium,Closed,Ask benefit ago again identify real.,User Error,56.0,True,Saturday,3
169,2025-04-08 22:55:13,2025-04-10 15:55:13,Access Issue,FDW_App2,Medium,Closed,Lead network the many ball appear.,Database Timeout,41.0,True,Tuesday,22
170,2025-05-16 15:41:37,2025-05-18 12:41:37,Report Error,Control-M,Critical,Closed,Agree middle student bag grow.,Database Timeout,45.0,True,Friday,15
171,2025-04-17 04:36:37,2025-04-18 09:36:37,Access Issue,Control-M,Medium,Closed,Why child might source where a front.,User Error,29.0,True,Thursday,4
172,2025-05-30 20:42:26,2025-05-31 03:42:26,Report Error,FDW_App1,Medium,Closed,Civil single city quite.,Unknown,7.0,False,Friday,20
173,2025-05-09 12:02:50,2025-05-09 23:02:50,Access Issue,Report_Portal,Low,Closed,Lot thousand question.,Unknown,11.0,True,Friday,12
174,2025-04-11 22:02:30,2025-04-12 21:02:30,Access Issue,CyberArk,High,Closed,Drive example color draw difficult.,User Error,23.0,True,Friday,22
175,2025-05-18 11:32:06,2025-05-18 23:32:06,Login Failure,Report_Portal,High,Closed,Guy north hit side class on reach.,Database Timeout,12.0,True,Sunday,11
176,2025-04-24 07:49:22,2025-04-26 18:49:22,Batch Job,CyberArk,Critical,Closed,Affect station member although.,User Error,59.0,True,Thursday,7
177,2025-04-18 11:52:23,2025-04-20 22:52:23,Report Error,Report_Portal,Critical,Closed,Particularly sing purpose here ago job trial.,Network Glitch,59.0,True,Friday,11
